Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Tib Raises",2,20.0,30,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Deadlift (Barbell)",1,135.0,8,0,0,"",,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Deadlift (Barbell)",2,185.00000000000003,3,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Deadlift (Barbell)",3,235.0,4,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Deadlift (Barbell)",4,235.0,5,0,0,,,
2023-03-13 16:03:17,"Post Cali Regen Sesh",58m,"Deadlift (Barbell)",5,235.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Nordic Curl",1,0,2,0,0,"","",
2023-03-23 10:13:24,"DL Day",1h 14m,"Nordic Curl",2,0,2,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Nordic Curl",3,0,2,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Tib Raises",1,10.0,40,0,0,"",,
2023-03-23 10:13:24,"DL Day",1h 14m,"Tib Raises",2,20.0,30,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",1,135.0,8,0,0,"",,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",2,185.00000000000003,2,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",3,225.0,2,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",4,245.00000000000003,2,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",5,275.0,1,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",6,275.0,3,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",7,265.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",8,265.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",9,265.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",10,225.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Deadlift (Barbell)",11,135.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Front Squat (Barbell)",1,30.0,3,0,0,"",,
2023-03-23 10:13:24,"DL Day",1h 14m,"Front Squat (Barbell)",2,60.0,4,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Front Squat (Barbell)",3,60.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Front Squat (Barbell)",4,80.0,5,0,0,,,
2023-03-23 10:13:24,"DL Day",1h 14m,"Incline Bench Press (Dumbbell)",1,35.0,8,0,0,"",,
2023-03-23 10:13:24,"DL Day",1h 14m,"Incline Bench Press (Dumbbell)",2,40.0,6,0,0,,,
2023-03-24 10:56:45,"Back ‘n Arms",40m,"Pull Up",1,0,2,0,0,"","",
2023-03-24 10:56:45,"Back ‘n Arms",40m,"Pull Up",2,0,5,0,0,,,
2023-03-24 10:56:45,"Back ‘n Arms",40m,"Pull Up",3,0,5,0,0,,,
2023-03-24 10:56:45,"Back ‘n Arms",40m,"Triceps Extension (Dumbbell)",1,45.0,17,0,0,"",,
2023-03-24 10:56:45,"Back ‘n Arms",40m,"Triceps Extension (Dumbbell)",2,45.0,12,0,0,,,
2023-03-24 10:56:45,"Back ‘n Arms",40m,"21 Dumbbell Curls",1,25.0,21,0,0,"",,
2023-03-24 10:56:45,"Back ‘n Arms",40m,"21 Dumbbell Curls",2,30.0,18,0,0,,,
2023-03-24 10:56:45,"Back ‘n Arms",40m,"Step Down",1,0,7,0,0,"",,
2023-03-24 10:56:45,"Back ‘n Arms",40m,"Step Down",2,0,20,0,0,,,
2023-03-24 10:56:45,"Back ‘n Arms",40m,"Chin Up",1,0,5,0,0,"",,
2023-03-24 10:56:45,"Back ‘n Arms",40m,"Triceps Single Arm Extension (Dumbbell)",1,19.0,17,0,0,"",,
2023-03-25 11:35:33,"Chesty",70h 50m,"Decline Bench Press (Barbell)",1,95.0,10,0,0,"","",
2023-03-25 11:35:33,"Chesty",70h 50m,"Decline Bench Press (Barbell)",2,115.0,8,0,0,,,
2023-03-25 11:35:33,"Chesty",70h 50m,"Decline Bench Press (Barbell)",3,135.0,8,0,0,,,
2023-03-25 11:35:33,"Chesty",70h 50m,"Decline Bench Press (Barbell)",4,155.0,7,0,0,,,
2023-03-25 11:35:33,"Chesty",70h 50m,"Pull Aparts - Green Thin Band",1,0,30,0,0,"",,
2023-03-25 11:35:33,"Chesty",70h 50m,"Pull Aparts - Black Thin Band",1,0,30,0,0,"",,
2023-03-25 11:35:33,"Chesty",70h 50m,"Pull Aparts - Black Thin Band",2,0,30,0,0,,,
2023-03-25 11:35:33,"Chesty",70h 50m,"Push Up",1,0,14,0,0,"",,
2023-03-25 11:35:33,"Chesty",70h 50m,"Push Up",2,0,14,0,0,,,
2023-03-28 10:26:11,"Upper Misc",42m,"Incline Bench Press (Barbell)",1,95.0,8,0,0,"","",
2023-03-28 10:26:11,"Upper Misc",42m,"Incline Bench Press (Barbell)",2,115.0,8,0,0,,,
2023-03-28 10:26:11,"Upper Misc",42m,"Incline Bench Press (Barbell)",3,125.0,8,0,0,,,
2023-03-28 10:26:11,"Upper Misc",42m,"Incline Bench Press (Barbell)",4,95.0,18,0,0,,,
2023-03-28 10:26:11,"Upper Misc",42m,"Pullover (Dumbbell)",1,25.0,8,0,0,"",,
2023-03-28 10:26:11,"Upper Misc",42m,"Pullover (Dumbbell)",2,35.0,6,0,0,,,
2023-03-28 10:26:11,"Upper Misc",42m,"Pullover (Dumbbell)",3,45.0,8,0,0,,,
2023-03-28 10:26:11,"Upper Misc",42m,"Pullover (Dumbbell)",4,55.0,8,0,0,,,
2023-03-28 10:26:11,"Upper Misc",42m,"Sumo Deadlift (Barbell)",1,135.0,6,0,0,"",,
2023-03-28 10:26:11,"Upper Misc",42m,"Sumo Deadlift (Barbell)",2,155.0,4,0,0,,,
2023-03-28 10:26:11,"Upper Misc",42m,"Dumbbell Shoulder External Rotation ",1,15.0,10,0,0,"",,
2023-03-28 10:26:11,"Upper Misc",42m,"Dumbbell Shoulder External Rotation ",2,15.0,11,0,0,,,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"T Bar Row",1,74.99999999999999,12,0,0,"","",
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"T Bar Row",2,85.0,12,0,0,,,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"T Bar Row",3,95.0,13,0,0,,,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Overhead Press (Barbell)",1,45.0,10,0,0,"",,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Overhead Press (Barbell)",2,55.0,10,0,0,,,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Overhead Press (Barbell)",3,60.0,12,0,0,,,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Deadlift (Barbell)",1,135.0,6,0,0,"",,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Deadlift (Barbell)",2,135.0,8,0,0,,,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Deadlift (Barbell)",3,135.0,10,0,0,,,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Tib Raises",1,10.0,50,0,0,"",,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Tib Raises",2,10.0,50,0,0,,,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Bicep Curl (Dumbbell)",1,35.0,15,0,0,"",,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Bicep Curl (Dumbbell)",2,40.0,15,0,0,,,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Hammer Curl (Dumbbell)",1,30.0,11,0,0,"",,
2023-03-30 11:22:59,"Morning Ass Workout",46h 52m,"Hammer Curl (Dumbbell)",2,25.0,11,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Landmine Press",1,10.0,10,0,0,"","",
2023-04-01 10:16:08,"Morning Workout",52m,"Landmine Press",2,20.0,6,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Landmine Press",3,30.0,16,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Landmine Press",4,35.0,14,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Decline Bench Press (Barbell)",1,95.0,8,0,0,"",,
2023-04-01 10:16:08,"Morning Workout",52m,"Decline Bench Press (Barbell)",2,115.0,4,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Decline Bench Press (Barbell)",3,135.0,5,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Decline Bench Press (Barbell)",4,155.0,7,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Decline Bench Press (Barbell)",5,160.0,11,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Decline Bench Press (Barbell)",6,135.0,3,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Pull Up",1,0,4,0,0,"",,
2023-04-01 10:16:08,"Morning Workout",52m,"Chin Up",1,0,5,0,0,"",,
2023-04-01 10:16:08,"Morning Workout",52m,"Chin Up",2,0,7,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Chin Up",3,0,7,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Face Pull (Cable)",1,140.0,4,0,0,"",,
2023-04-01 10:16:08,"Morning Workout",52m,"Face Pull (Cable)",2,149.99999999999997,4,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Face Pull (Cable)",3,149.99999999999997,20,0,0,,,
2023-04-01 10:16:08,"Morning Workout",52m,"Face Pull (Cable)",4,149.99999999999997,20,0,0,,,
2023-04-03 10:16:13,"Morning Workout",33m,"Bicep Curl (Dumbbell)",1,30.0,16,0,0,"","",
2023-04-03 10:16:13,"Morning Workout",33m,"Bicep Curl (Dumbbell)",2,35.0,12,0,0,,,
2023-04-03 10:16:13,"Morning Workout",33m,"Bicep Curl (Dumbbell)",3,35.0,11,0,0,,,
